Timestamp,Event_Type,Duration_Seconds,Peak_Value
2026-05-19 19:31:15,YAWN,1.8,0.68
2026-05-19 19:36:15,YAWN,2.1,0.72
2026-05-19 19:40:15,DROWSINESS,1.6,0.2
2026-05-19 19:48:15,YAWN,2.5,0.81
2026-05-19 19:54:15,DROWSINESS,2.2,0.18
2026-05-19 19:59:15,YAWN,1.9,0.7
2026-05-19 20:03:15,DROWSINESS,3.4,0.12
2026-05-19 20:08:15,DROWSINESS,4.1,0.08
2026-05-19 20:15:15,DROWSINESS,1.89,0.03
2026-05-19 20:15:21,DROWSINESS,3.27,0.018
2026-05-19 20:15:27,DROWSINESS,2.58,0.119
2026-05-19 20:15:27,YAWN,4.1,1.03
2026-05-19 20:15:32,YAWN,1.76,0.998
2026-05-19 20:15:40,YAWN,4.1,1.234
2026-05-19 20:15:45,DROWSINESS,4.3,0.016
2026-05-19 20:15:54,DROWSINESS,2.44,0.105
2026-05-19 20:16:15,YAWN,6.24,0.993
2026-05-19 20:16:19,YAWN,3.12,1.003
2026-05-19 20:16:30,YAWN,2.13,0.714
2026-05-19 20:16:38,DROWSINESS,1.67,0.034
2026-05-19 20:16:58,DROWSINESS,5.91,0.041
2026-05-19 20:17:43,YAWN,3.87,0.764
2026-05-19 20:17:47,DROWSINESS,3.4,0.014
2026-05-19 20:17:55,YAWN,1.8,0.93
2026-05-19 20:18:30,YAWN,3.06,0.878
2026-05-19 20:18:36,DROWSINESS,1.6,0.039
2026-05-19 20:20:49,DROWSINESS,3.37,0.017
2026-05-19 20:20:55,DROWSINESS,3.63,0.016
2026-05-19 20:21:04,YAWN,3.96,1.257
2026-05-19 20:21:24,YAWN,3.16,0.866
2026-05-19 20:21:33,YAWN,1.78,0.823
2026-05-19 20:22:13,DROWSINESS,3.06,0.017
2026-05-19 20:22:19,YAWN,2.45,0.842
2026-05-19 20:22:43,YAWN,2.85,0.821
2026-05-19 20:23:22,YAWN,1.57,0.886
2026-05-19 20:23:32,YAWN,4.06,1.111
2026-05-19 20:23:34,DROWSINESS,5.88,0.02
2026-05-19 20:23:37,DROWSINESS,2.12,0.088
2026-05-19 20:24:33,YAWN,3.01,0.919
2026-05-19 20:24:38,YAWN,3.5,0.933
2026-05-19 20:24:40,DROWSINESS,5.36,0.033
2026-05-19 20:28:28,DROWSINESS,2.95,0.025
2026-05-19 20:28:38,YAWN,4.04,1.047
2026-05-19 20:28:58,DROWSINESS,3.68,0.094
2026-05-19 20:29:00,YAWN,5.47,1.032
2026-05-19 20:29:05,DROWSINESS,2.91,0.024
2026-05-19 20:30:02,YAWN,1.62,0.842
2026-05-19 20:30:07,YAWN,1.63,0.846
2026-05-19 20:30:15,DROWSINESS,4.3,0.042
2026-05-19 20:30:16,YAWN,6.82,1.205
2026-05-19 20:30:18,DROWSINESS,1.69,0.099
2026-05-19 20:31:27,DROWSINESS,2.99,0.03
2026-05-19 20:32:45,YAWN,7.28,0.969
2026-05-19 20:32:47,DROWSINESS,7.73,0.016
2026-05-19 20:33:21,YAWN,4.36,0.909
2026-05-19 20:34:03,YAWN,2.34,0.833
2026-05-19 20:34:06,DROWSINESS,4.49,0.019
2026-05-19 20:34:11,DROWSINESS,3.64,0.031
2026-05-19 20:34:24,DROWSINESS,8.29,0.016
2026-05-19 20:34:34,DROWSINESS,8.03,0.018
2026-05-19 20:34:39,DROWSINESS,1.9,0.024
2026-05-19 20:34:44,DROWSINESS,2.04,0.053
2026-05-19 20:36:25,DROWSINESS,3.5,0.016
2026-05-19 20:41:13,DISTRACTION,4.08,0.996
2026-05-19 20:41:23,DROWSINESS,2.74,0.014
2026-05-19 20:41:46,DISTRACTION,5.24,0.446
2026-05-19 20:41:55,DISTRACTION,5.38,0.905
2026-05-19 20:42:12,DISTRACTION,16.41,0.993
2026-05-19 20:42:27,DISTRACTION,9.03,0.992
